average_precision,brier,calibration,ece_10bin,feature_group,features,fn_at_0.5,fp_at_0.5,model,outer_fold,policy_accuracy,policy_accuracy_difference_vs_n16_pp,policy_adaptive_only_correct,policy_both_correct,policy_both_wrong,policy_compute_reduction_vs_n16_pct,policy_mean_samples,policy_mean_tokens,policy_median_samples,policy_missed_recoveries,policy_n16_only_correct,policy_n_questions,policy_premature_stop_errors,policy_regressions_avoided,policy_total_samples,policy_total_tokens,positive_prevalence,recovery_precision_at_0.5,recovery_recall_at_0.5,roc_auc,scope,selected_lambda_error,selected_tau,threshold_selection_rule,tn_at_0.5,tp_at_0.5
0.2618593379843304,0.019498254804691004,sigmoid,0.013993331438985523,F_all_signals_cost_prefix,consensus|answer_entropy|vote_margin|unique_answers|answer_stability|invalid_extraction_rate|prefix|cumulative_output_tokens,35,0,logistic_fixed_balanced_l2,2,0.86,0.0,0,86,14,58.38237747593817,6.02,3617.05,4.0,0,0,100,9,0,602,361705,0.023333333333333334,0.0,0.0,0.9339054119941491,outer_fold,10,0.03,fallback_max_inner_accuracy_then_min_mean_samples,1465,0
0.2592564246391095,0.044540371484194284,sigmoid,0.01828538908529894,A_consensus_only,consensus,81,0,logistic_fixed_balanced_l2,3,0.75,-2.0,2,73,21,74.81849849797496,3.54,2311.06,2.0,4,4,100,19,2,354,231106,0.054,0.0,0.0,0.846810047068445,outer_fold,10,0.05,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1419,0
0.23017303300683148,0.049763576822238094,sigmoid,0.031194633281024595,B_consensus_entropy,consensus|answer_entropy,81,0,logistic_fixed_balanced_l2,3,0.73,-4.0,2,71,21,81.05301925010978,2.7,1738.88,2.0,6,6,100,26,2,270,173888,0.054,0.0,0.0,0.852465220682275,outer_fold,10,0.03,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1419,0
0.2025486589007536,0.04805835632081969,sigmoid,0.028086149559140863,C_consensus_entropy_margin,consensus|answer_entropy|vote_margin,81,0,logistic_fixed_balanced_l2,3,0.76,-1.0,2,74,21,70.52729414302851,4.06,2704.89,2.0,3,3,100,18,2,406,270489,0.054,0.0,0.0,0.8220838879753609,outer_fold,10,0.02,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1419,0
0.22458966833360366,0.04683350596453538,sigmoid,0.02451593434796978,D_all_disagreement,consensus|answer_entropy|vote_margin|unique_answers|invalid_extraction_rate,81,0,logistic_fixed_balanced_l2,3,0.75,-2.0,2,73,21,71.9406250646955,3.9,2575.18,2.0,4,4,100,21,2,390,257518,0.054,0.0,0.0,0.8363218750815649,outer_fold,5,0.03,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1419,0
0.20155931125126955,0.047514118706667954,sigmoid,0.024298497873975786,E_disagreement_stability,consensus|answer_entropy|vote_margin|unique_answers|invalid_extraction_rate|answer_stability,81,0,logistic_fixed_balanced_l2,3,0.73,-4.0,2,71,21,73.53385031614985,3.68,2428.96,2.0,6,6,100,23,2,368,242896,0.054,0.0,0.0,0.8516125945066514,outer_fold,10,0.03,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1419,0
0.23466682329843863,0.046588151194573865,sigmoid,0.0243100644402147,F_all_signals_cost_prefix,consensus|answer_entropy|vote_margin|unique_answers|answer_stability|invalid_extraction_rate|prefix|cumulative_output_tokens,81,0,logistic_fixed_balanced_l2,3,0.74,-3.0,3,71,20,74.1385829208258,3.54,2373.46,2.0,6,6,100,25,3,354,237346,0.054,0.0,0.0,0.8567631526287858,outer_fold,10,0.05,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1419,0
0.08604069797140138,0.035360171985841675,sigmoid,0.026793631421908475,A_consensus_only,consensus,51,0,logistic_fixed_balanced_l2,4,0.75,-2.0,1,74,22,78.95678064816882,2.92,1819.18,2.0,3,3,100,22,1,292,181918,0.034,0.0,0.0,0.7795031055900621,outer_fold,5,0.05,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1449,0
0.10677986478566502,0.036581294151538525,sigmoid,0.019372611620135802,B_consensus_entropy,consensus|answer_entropy,50,28,logistic_fixed_balanced_l2,4,0.75,-2.0,1,74,22,70.99874262143189,4.17,2507.15,2.0,3,3,100,18,1,417,250715,0.034,0.034482758620689655,0.0196078431372549,0.808657762621957,outer_fold,10,0.03,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1421,1
0.13046697559244919,0.033092604494399644,sigmoid,0.015580526819454803,C_consensus_entropy_margin,consensus|answer_entropy|vote_margin,51,0,logistic_fixed_balanced_l2,4,0.77,0.0,1,76,22,67.7234276116632,4.59,2790.3,2.0,1,1,100,16,1,459,279030,0.034,0.0,0.0,0.8296999959404051,outer_fold,10,0.02,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1449,0
0.11800371426953553,0.03301497005298442,sigmoid,0.01920084760673301,D_all_disagreement,consensus|answer_entropy|vote_margin|unique_answers|invalid_extraction_rate,51,0,logistic_fixed_balanced_l2,4,0.75,-2.0,1,74,22,73.38186251658479,3.86,2301.13,2.0,3,3,100,23,1,386,230113,0.034,0.0,0.0,0.8174806154345796,outer_fold,10,0.03,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1449,0
0.14224868907757585,0.031385986126057724,sigmoid,0.0196310550689642,E_disagreement_stability,consensus|answer_entropy|vote_margin|unique_answers|invalid_extraction_rate|answer_stability,51,0,logistic_fixed_balanced_l2,4,0.73,-4.0,2,71,21,84.65014916188257,2.23,1326.99,2.0,6,6,100,26,2,223,132699,0.034,0.0,0.0,0.8855058931785273,outer_fold,5,0.075,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1449,0
0.15727377588899563,0.031197840990660714,sigmoid,0.010288375941216782,F_all_signals_cost_prefix,consensus|answer_entropy|vote_margin|unique_answers|answer_stability|invalid_extraction_rate|prefix|cumulative_output_tokens,50,5,logistic_fixed_balanced_l2,4,0.74,-3.0,1,73,22,78.09743700672183,3.17,1893.47,2.0,4,4,100,25,1,317,189347,0.034,0.16666666666666666,0.0196078431372549,0.8769266160570509,outer_fold,10,0.075,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1444,1
0.11273653490998418,0.03585870837590651,sigmoid,0.021292233327593106,A_consensus_only,consensus,56,0,logistic_fixed_balanced_l2,5,0.74,-3.0,2,72,21,68.07040400556896,4.68,2749.78,2.0,5,5,100,15,2,468,274978,0.037333333333333336,0.0,0.0,0.7323036208943411,outer_fold,10,0.02,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1444,0
0.14630654077196803,0.03381528368966527,sigmoid,0.005618607829955222,B_consensus_entropy,consensus|answer_entropy,56,0,logistic_fixed_balanced_l2,5,0.74,-3.0,2,72,21,67.36058132770398,4.86,2810.91,2.0,5,5,100,14,2,486,281091,0.037333333333333336,0.0,0.0,0.7578094083893945,outer_fold,10,0.03,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1444,0
0.22228066899320464,0.03213047991636335,sigmoid,0.003625966047897661,C_consensus_entropy_margin,consensus|answer_entropy|vote_margin,56,0,logistic_fixed_balanced_l2,5,0.76,-1.0,4,72,19,72.3861212423116,4.0,2378.11,2.0,5,5,100,17,4,400,237811,0.037333333333333336,0.0,0.0,0.78513924614167,outer_fold,10,0.03,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1444,0
0.15652109922789312,0.03382968853539572,sigmoid,0.005970515345772966,D_all_disagreement,consensus|answer_entropy|vote_margin|unique_answers|invalid_extraction_rate,56,0,logistic_fixed_balanced_l2,5,0.74,-3.0,2,72,21,66.90772537421577,4.96,2849.91,2.0,5,5,100,14,2,496,284991,0.037333333333333336,0.0,0.0,0.7319759101701621,outer_fold,10,0.02,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1444,0
0.11796309926552026,0.03492888411321669,sigmoid,0.017355581974760805,E_disagreement_stability,consensus|answer_entropy|vote_margin|unique_answers|invalid_extraction_rate|answer_stability,56,0,logistic_fixed_balanced_l2,5,0.75,-2.0,3,72,20,73.4569513969445,3.84,2285.89,2.0,5,5,100,20,3,384,228589,0.037333333333333336,0.0,0.0,0.8380985358132174,outer_fold,10,0.03,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1444,0
0.13205960965642582,0.037478308607339,sigmoid,0.02792208531657233,F_all_signals_cost_prefix,consensus|answer_entropy|vote_margin|unique_answers|answer_stability|invalid_extraction_rate|prefix|cumulative_output_tokens,54,5,logistic_fixed_balanced_l2,5,0.75,-2.0,3,72,20,73.26559072736794,3.9,2302.37,2.0,5,5,100,21,3,390,230237,0.037333333333333336,0.2857142857142857,0.03571428571428571,0.8334796695686585,outer_fold,10,0.03,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1439,2
0.16233375420270416,0.03332891278971524,sigmoid,0.021311335089477385,A_consensus_only,consensus,,,logistic_fixed_balanced_l2,all,0.768,-2.0,8,376,98,75.78183407234881,3.416,2150.314,2.0,18,18,500,89,8,1708,1075157,,,,0.8082415915835796,outer_aggregate,,,,,
0.17628631083534205,0.03308200413568379,sigmoid,0.014791164165072848,B_consensus_entropy,consensus|answer_entropy,,,logistic_fixed_balanced_l2,all,0.772,-1.6,7,379,99,71.94792615776902,4.0,2490.724,2.0,15,15,500,81,7,2000,1245362,,,,0.8246695046571327,outer_aggregate,,,,,
0.18768472884526854,0.03141318397174413,sigmoid,0.014462127624013724,C_consensus_entropy_margin,consensus|answer_entropy|vote_margin,,,logistic_fixed_balanced_l2,all,0.784,-0.4,9,383,97,71.87863852964264,3.962,2496.876,2.0,11,11,500,78,9,1981,1248438,,,,0.8272289272938644,outer_aggregate,,,,,
0.18527604572689743,0.03138940214292407,sigmoid,0.013024715059482004,D_all_disagreement,consensus|answer_entropy|vote_margin|unique_answers|invalid_extraction_rate,,,logistic_fixed_balanced_l2,all,0.774,-1.4,7,380,99,71.9001951811761,4.016,2494.962,2.0,14,14,500,85,7,2008,1247481,,,,0.8185169727589192,outer_aggregate,,,,,
0.15849611044898196,0.031998729034756326,sigmoid,0.016156320864617445,E_disagreement_stability,consensus|answer_entropy|vote_margin|unique_answers|invalid_extraction_rate|answer_stability,,,logistic_fixed_balanced_l2,all,0.766,-2.2,8,375,98,73.39632140359255,3.664,2362.122,2.0,19,19,500,95,8,1832,1181061,,,,0.8782876941912463,outer_aggregate,,,,,
0.20373274662662727,0.03153437582874419,sigmoid,0.01819875707516901,F_all_signals_cost_prefix,consensus|answer_entropy|vote_margin|unique_answers|answer_stability|invalid_extraction_rate|prefix|cumulative_output_tokens,,,logistic_fixed_balanced_l2,all,0.776,-1.2,9,379,97,69.49134636718614,4.32,2708.842,3.0,15,15,500,95,9,2160,1354421,,,,0.8875333805881865,outer_aggregate,,,,,
