n,accuracy,ci95_low,ci95_high,accuracy_gain_vs_n1,marginal_accuracy_gain,mean_generated_tokens_per_question,total_generated_tokens,mean_latency_seconds_per_question,compute_multiplier_vs_n1,invalid_extraction_rate,tie_rate
1,0.72,0.68,0.7580499999999992,0.0,0.0,556.548,278274,0.825937224,1.0,0.068,0.0
2,0.73,0.69,0.768,0.010000000000000009,0.010000000000000009,1121.852,560926,1.652871928,2.001207694690365,0.074,0.19
4,0.748,0.71,0.786,0.028000000000000025,0.018000000000000016,2226.288,1113144,3.313806302,4.012176961768707,0.0805,0.094
8,0.784,0.748,0.82,0.06400000000000006,0.03600000000000003,4426.362,2213181,6.624697556,8.020824541502927,0.08025,0.066
16,0.788,0.754,0.824,0.06800000000000006,0.0040000000000000036,8878.93,4439465,13.25048272,16.04296589979095,0.082,0.044
