analysis_type,features,mean,median,metric,n,outcome,prefix,signal,test_questions,train_questions,value
signal_summary,,0.42333333333333323,0.42857142857142855,,10,improves,7,consensus,,,
signal_summary,,1.1522029554891868,1.1406383662601076,,10,improves,7,answer_entropy,,,
signal_summary,,0.11047619047619046,0.0,,10,improves,7,vote_margin,,,
signal_summary,,5.7,6.5,,10,improves,7,answer_stability,,,
signal_summary,,0.8592419208698279,1.0,,473,no_correctness_change,7,consensus,,,
signal_summary,,0.30826919518987794,0.0,,473,no_correctness_change,7,answer_entropy,,,
signal_summary,,0.7721081244337059,1.0,,473,no_correctness_change,7,vote_margin,,,
signal_summary,,6.372093023255814,7.0,,473,no_correctness_change,7,answer_stability,,,
signal_summary,,0.4428571428571428,0.42857142857142855,,10,regression,7,consensus,,,
signal_summary,,1.1076038242082233,1.277034259466139,,10,regression,7,answer_entropy,,,
signal_summary,,0.10238095238095238,0.14285714285714285,,10,regression,7,vote_margin,,,
signal_summary,,4.5,5.0,,10,regression,7,answer_stability,,,
signal_summary,,0.4308441558441558,0.5,,11,improves,8,consensus,,,
signal_summary,,1.181041285606575,0.9743147528693494,,11,improves,8,answer_entropy,,,
signal_summary,,0.13344155844155844,0.125,,11,improves,8,vote_margin,,,
signal_summary,,5.0,5.0,,11,improves,8,answer_stability,,,
signal_summary,,0.8563770094024872,1.0,,471,no_correctness_change,8,consensus,,,
signal_summary,,0.328086225469884,0.0,,471,no_correctness_change,8,answer_entropy,,,
signal_summary,,0.7734202810635932,1.0,,471,no_correctness_change,8,vote_margin,,,
signal_summary,,7.305732484076433,8.0,,471,no_correctness_change,8,answer_stability,,,
signal_summary,,0.41179653679653677,0.375,,11,regression,8,consensus,,,
signal_summary,,1.1406926308156669,1.2554823251787535,,11,regression,8,answer_entropy,,,
signal_summary,,0.04707792207792207,0.0,,11,regression,8,vote_margin,,,
signal_summary,,5.090909090909091,5.0,,11,regression,8,answer_stability,,,
signal_summary,,0.37962962962962965,0.4444444444444444,,9,improves,9,consensus,,,
signal_summary,,1.2791889087562305,1.2148896539491203,,9,improves,9,answer_entropy,,,
signal_summary,,0.08179012345679013,0.0,,9,improves,9,vote_margin,,,
signal_summary,,6.888888888888889,7.0,,9,improves,9,answer_stability,,,
signal_summary,,0.8506591478696741,1.0,,475,no_correctness_change,9,consensus,,,
signal_summary,,0.34708228833373783,0.0,,475,no_correctness_change,9,answer_entropy,,,
signal_summary,,0.7628212197159565,1.0,,475,no_correctness_change,9,vote_margin,,,
signal_summary,,8.145263157894737,9.0,,475,no_correctness_change,9,answer_stability,,,
signal_summary,,0.38690476190476186,0.38888888888888884,,10,regression,9,consensus,,,
signal_summary,,1.2470166496994886,1.262836666024417,,10,regression,9,answer_entropy,,,
signal_summary,,0.05138888888888889,0.0,,10,regression,9,vote_margin,,,
signal_summary,,4.5,4.0,,10,regression,9,answer_stability,,,
signal_summary,,0.3738492063492063,0.3875,,10,improves,10,consensus,,,
signal_summary,,1.3268625254760897,1.235185989563937,,10,improves,10,answer_entropy,,,
signal_summary,,0.06650793650793652,0.05,,10,improves,10,vote_margin,,,
