accuracy,both_correct,both_wrong,calibration,feature_group,hyperparameters,inner_loss,lambda_miss,mean_samples,mean_tokens,median_samples,missed_recoveries,model,n16_only_correct,n_questions,outer_fold,policy_id,policy_only_correct,policy_type,premature_stopping_errors,regressions_avoided,sample_reduction_vs_n16_pct,schedule,scope,selected_on,selected_tau,start_prefix,token_reduction_vs_n16_pct,total_samples,total_tokens,unnecessary_continuations
0.75,71,19,sigmoid,G_original_plus_trajectory,C=0.1;class_weight=None,0.3435471222917035,5,2.62,1508.37,2.0,6,logistic,6,100,5,safe_logistic_start2_every_sample_lambda5,4,safe_stop,25,4,83.625,every_sample,outer_fold,inner_oof,0.3,2,82.4852734727433,262,150837,0
0.72,71,22,sigmoid,G_original_plus_trajectory,C=0.1;class_weight=None,0.4478066459042709,10,4.42,2682.12,2.0,6,logistic,6,100,5,safe_logistic_start2_every_sample_lambda10,1,safe_stop,22,1,72.375,every_sample,outer_fold,inner_oof,0.05,2,68.85605102641543,442,268212,6
0.77,77,23,sigmoid,G_original_plus_trajectory,C=0.1;class_weight=None,0.49452471924933433,20,7.34,4397.17,4.0,0,logistic,0,100,5,safe_logistic_start2_every_sample_lambda20,0,safe_stop,13,0,54.125,every_sample,outer_fold,inner_oof,0.02,2,48.94142017949352,734,439717,14
0.75,71,19,sigmoid,G_original_plus_trajectory,C=0.1;class_weight=None,0.2823525150743489,2,2.94,1716.31,2.0,6,logistic,6,100,5,safe_logistic_start2_checkpoint_lambda2,4,safe_stop,23,4,81.625,checkpoint,outer_fold,inner_oof,0.4,2,80.07073842227308,294,171631,2
0.75,71,19,sigmoid,G_original_plus_trajectory,C=0.1;class_weight=None,0.37235251507434886,5,2.94,1716.31,2.0,6,logistic,6,100,5,safe_logistic_start2_checkpoint_lambda5,4,safe_stop,23,4,81.625,checkpoint,outer_fold,inner_oof,0.4,2,80.07073842227308,294,171631,2
0.76,72,19,sigmoid,G_original_plus_trajectory,C=0.1;class_weight=None,0.45579381510140116,10,3.58,2126.23,2.0,5,logistic,5,100,5,safe_logistic_start2_checkpoint_lambda10,4,safe_stop,19,4,77.625,checkpoint,outer_fold,inner_oof,0.15,2,75.31087400037855,358,212623,7
0.75,74,22,sigmoid,G_original_plus_trajectory,C=0.1;class_weight=None,0.5417094434619693,20,5.24,3263.2,2.0,3,logistic,3,100,5,safe_logistic_start2_checkpoint_lambda20,1,safe_stop,13,1,67.25,checkpoint,outer_fold,inner_oof,0.05,2,62.10872955326341,524,326320,19
0.77,73,19,sigmoid,G_original_plus_trajectory,C=0.1;class_weight=None,0.3585630350359839,2,4.36,2389.63,4.0,4,logistic,4,100,5,safe_logistic_start4_every_sample_lambda2,4,safe_stop,23,4,72.75,every_sample,outer_fold,inner_oof,0.3,4,72.25235456066585,436,238963,0
0.76,74,21,sigmoid,G_original_plus_trajectory,C=0.1;class_weight=None,0.4303250961918964,5,4.96,2771.23,4.0,3,logistic,3,100,5,safe_logistic_start4_every_sample_lambda5,2,safe_stop,24,2,69.0,every_sample,outer_fold,inner_oof,0.15,4,67.82133323115045,496,277123,0
0.75,75,23,sigmoid,G_original_plus_trajectory,C=0.1;class_weight=None,0.5031006096811191,10,6.63,3885.69,4.0,2,logistic,2,100,5,safe_logistic_start4_every_sample_lambda10,0,safe_stop,19,0,58.56250000000001,every_sample,outer_fold,inner_oof,0.05,4,54.88056795103582,663,388569,6
0.77,77,23,sigmoid,G_original_plus_trajectory,C=0.1;class_weight=None,0.5049462532669473,20,7.34,4397.17,4.0,0,logistic,0,100,5,safe_logistic_start4_every_sample_lambda20,0,safe_stop,13,0,54.125,every_sample,outer_fold,inner_oof,0.02,4,48.94142017949352,734,439717,14
0.76,73,20,sigmoid,G_original_plus_trajectory,C=0.1;class_weight=None,0.3709153936098622,2,4.6,2556.34,4.0,4,logistic,4,100,5,safe_logistic_start4_checkpoint_lambda2,3,safe_stop,22,3,71.25,checkpoint,outer_fold,inner_oof,0.4,4,70.31656953487048,460,255634,2
0.76,73,20,sigmoid,G_original_plus_trajectory,C=0.1;class_weight=None,0.43470775213902607,5,4.72,2602.23,4.0,4,logistic,4,100,5,safe_logistic_start4_checkpoint_lambda5,3,safe_stop,22,3,70.5,checkpoint,outer_fold,inner_oof,0.3,4,69.78370902959936,472,260223,2
0.76,74,21,sigmoid,G_original_plus_trajectory,C=0.1;class_weight=None,0.4892103545182804,10,5.44,3121.67,4.0,3,logistic,3,100,5,safe_logistic_start4_checkpoint_lambda10,2,safe_stop,18,2,65.99999999999999,checkpoint,outer_fold,inner_oof,0.15,4,63.752132196781005,544,312167,8
0.77,77,23,sigmoid,G_original_plus_trajectory,C=0.1;class_weight=None,0.5491252741552888,20,7.76,4668.25,4.0,0,logistic,0,100,5,safe_logistic_start4_checkpoint_lambda20,0,safe_stop,7,0,51.5,checkpoint,outer_fold,inner_oof,0.05,4,45.79372295201701,776,466825,26
0.74,71,20,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,0.2873146978534843,2,3.07,1813.99,2.0,6,histgb,6,100,5,safe_histgb_start2_every_sample_lambda2,3,safe_stop,26,3,80.8125,every_sample,outer_fold,inner_oof,0.7,2,78.93650843415185,307,181399,0
0.75,73,21,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,0.3568565091899312,5,3.97,2492.67,2.0,4,histgb,4,100,5,safe_histgb_start2_every_sample_lambda5,2,safe_stop,23,2,75.1875,every_sample,outer_fold,inner_oof,0.3,2,71.05588590816778,397,249267,2
0.75,73,21,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,0.43185650918993124,10,3.97,2492.67,2.0,4,histgb,4,100,5,safe_histgb_start2_every_sample_lambda10,2,safe_stop,23,2,75.1875,every_sample,outer_fold,inner_oof,0.3,2,71.05588590816778,397,249267,2
0.76,76,23,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,0.532089471319053,20,6.22,3832.25,3.0,1,histgb,1,100,5,safe_histgb_start2_every_sample_lambda20,0,safe_stop,18,0,61.12500000000001,every_sample,outer_fold,inner_oof,0.075,2,55.50109672422582,622,383225,8
0.75,72,20,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,0.33642642353945934,2,3.76,2248.61,2.0,5,histgb,5,100,5,safe_histgb_start2_checkpoint_lambda2,3,safe_stop,20,3,76.5,checkpoint,outer_fold,inner_oof,0.7,2,73.88983524171478,376,224861,8
0.75,72,20,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,0.39642642353945934,5,3.76,2248.61,2.0,5,histgb,5,100,5,safe_histgb_start2_checkpoint_lambda5,3,safe_stop,20,3,76.5,checkpoint,outer_fold,inner_oof,0.7,2,73.88983524171478,376,224861,8
0.77,75,21,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,0.46788778021968197,10,4.86,3196.42,2.0,2,histgb,2,100,5,safe_histgb_start2_checkpoint_lambda10,2,safe_stop,13,2,69.625,checkpoint,outer_fold,inner_oof,0.4,2,62.884158285928606,486,319642,16
0.77,75,21,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,0.5928877802196819,20,4.86,3196.42,2.0,2,histgb,2,100,5,safe_histgb_start2_checkpoint_lambda20,2,safe_stop,13,2,69.625,checkpoint,outer_fold,inner_oof,0.4,2,62.884158285928606,486,319642,16
0.74,72,21,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,0.3742889065759262,2,4.81,2695.6,4.0,5,histgb,5,100,5,safe_histgb_start4_every_sample_lambda2,2,safe_stop,26,2,69.93750000000001,every_sample,outer_fold,inner_oof,0.7,4,68.69952543018412,481,269560,0
0.77,75,21,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,0.406226566849176,5,5.94,3543.57,4.0,2,histgb,2,100,5,safe_histgb_start4_every_sample_lambda5,2,safe_stop,21,2,62.87499999999999,every_sample,outer_fold,inner_oof,0.3,4,58.853159715327784,594,354357,3
0.77,75,21,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,0.44372656684917605,10,5.94,3543.57,4.0,2,histgb,2,100,5,safe_histgb_start4_every_sample_lambda10,2,safe_stop,21,2,62.87499999999999,every_sample,outer_fold,inner_oof,0.3,4,58.853159715327784,594,354357,3
0.77,75,21,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,0.5187265668491761,20,5.94,3543.57,4.0,2,histgb,2,100,5,safe_histgb_start4_every_sample_lambda20,2,safe_stop,21,2,62.87499999999999,every_sample,outer_fold,inner_oof,0.3,4,58.853159715327784,594,354357,3
0.76,74,21,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,0.41278497058909014,2,5.68,3250.43,4.0,3,histgb,3,100,5,safe_histgb_start4_checkpoint_lambda2,2,safe_stop,18,2,64.5,checkpoint,outer_fold,inner_oof,0.7,4,62.257010848803006,568,325043,10
0.76,74,21,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,0.4502849705890901,5,5.68,3250.43,4.0,3,histgb,3,100,5,safe_histgb_start4_checkpoint_lambda5,2,safe_stop,18,2,64.5,checkpoint,outer_fold,inner_oof,0.7,4,62.257010848803006,568,325043,10
0.77,76,22,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,0.48248402018408926,10,6.64,4048.91,4.0,1,histgb,1,100,5,safe_histgb_start4_checkpoint_lambda10,1,safe_stop,12,1,58.5,checkpoint,outer_fold,inner_oof,0.4,4,52.98530772723209,664,404891,18
0.77,76,22,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,0.5324840201840892,20,6.64,4048.91,4.0,1,histgb,1,100,5,safe_histgb_start4_checkpoint_lambda20,1,safe_stop,12,1,58.5,checkpoint,outer_fold,inner_oof,0.4,4,52.98530772723209,664,404891,18
0.776,376,94,,G_original_plus_trajectory,,,2,2.96,1860.32,2.0,18,logistic,18,500,all,safe_logistic_start2_every_sample_lambda2,12,safe_stop,108,12,81.5,every_sample,outer_aggregate,inner_oof,,2,79.04792581989047,1480,930160,5
0.778,378,95,,G_original_plus_trajectory,,,5,3.276,2100.194,2.0,16,logistic,16,500,all,safe_logistic_start2_every_sample_lambda5,11,safe_stop,106,11,79.525,every_sample,outer_aggregate,inner_oof,,2,76.34631650435357,1638,1050097,6
0.77,383,104,,G_original_plus_trajectory,,,10,4.952,3272.48,3.0,11,logistic,11,500,all,safe_logistic_start2_every_sample_lambda10,2,safe_stop,83,2,69.05,every_sample,outer_aggregate,inner_oof,,2,63.1433066822241,2476,1636240,34
0.788,393,105,,G_original_plus_trajectory,,,20,6.68,4305.098,4.0,1,logistic,1,500,all,safe_logistic_start2_every_sample_lambda20,1,safe_stop,54,1,58.25,every_sample,outer_aggregate,inner_oof,,2,51.51332424064612,3340,2152549,63
0.772,377,97,,G_original_plus_trajectory,,,2,3.384,2170.568,2.0,17,logistic,17,500,all,safe_logistic_start2_checkpoint_lambda2,9,safe_stop,92,9,78.85,checkpoint,outer_aggregate,inner_oof,,2,75.55372100016557,1692,1085284,28
0.774,379,98,,G_original_plus_trajectory,,,5,3.7,2406.576,2.0,15,logistic,15,500,all,safe_logistic_start2_checkpoint_lambda5,8,safe_stop,84,8,76.875,checkpoint,outer_aggregate,inner_oof,,2,72.89565296719312,1850,1203288,35
0.78,384,100,,G_original_plus_trajectory,,,10,4.656,3139.164,2.0,10,logistic,10,500,all,safe_logistic_start2_checkpoint_lambda10,6,safe_stop,61,6,70.9,checkpoint,outer_aggregate,inner_oof,,2,64.64479391097801,2328,1569582,70
0.782,390,105,,G_original_plus_trajectory,,,20,6.96,4511.84,4.0,4,logistic,4,500,all,safe_logistic_start2_checkpoint_lambda20,1,safe_stop,38,1,56.49999999999999,checkpoint,outer_aggregate,inner_oof,,2,49.184867996481564,3480,2255920,111
0.782,380,95,,G_original_plus_trajectory,,,2,4.75,2812.194,4.0,14,logistic,14,500,all,safe_logistic_start4_every_sample_lambda2,11,safe_stop,105,11,70.3125,every_sample,outer_aggregate,inner_oof,,4,68.32733223485262,2375,1406097,5
0.782,384,99,,G_original_plus_trajectory,,,5,5.196,3132.866,4.0,10,logistic,10,500,all,safe_logistic_start4_every_sample_lambda5,7,safe_stop,104,7,67.525,every_sample,outer_aggregate,inner_oof,,4,64.71572588138436,2598,1566433,7
0.78,389,105,,G_original_plus_trajectory,,,10,6.102,3784.186,4.0,5,logistic,5,500,all,safe_logistic_start4_every_sample_lambda10,1,safe_stop,86,1,61.8625,every_sample,outer_aggregate,inner_oof,,4,57.38015729372796,3051,1892093,27
0.784,392,106,,G_original_plus_trajectory,,,20,6.766,4282.654,4.0,2,logistic,2,500,all,safe_logistic_start4_every_sample_lambda20,0,safe_stop,59,0,57.7125,every_sample,outer_aggregate,inner_oof,,4,51.766102447029084,3383,2141327,59
0.778,381,98,,G_original_plus_trajectory,,,2,5.104,3096.998,4.0,13,logistic,13,500,all,safe_logistic_start4_checkpoint_lambda2,8,safe_stop,85,8,68.10000000000001,checkpoint,outer_aggregate,inner_oof,,4,65.11969347657882,2552,1548499,33
0.78,383,99,,G_original_plus_trajectory,,,5,5.432,3313.152,4.0,11,logistic,11,500,all,safe_logistic_start4_checkpoint_lambda5,7,safe_stop,78,7,66.05,checkpoint,outer_aggregate,inner_oof,,4,62.68523346844721,2716,1656576,41
0.784,388,102,,G_original_plus_trajectory,,,10,6.144,3852.236,4.0,6,logistic,6,500,all,safe_logistic_start4_checkpoint_lambda10,4,safe_stop,59,4,61.6,checkpoint,outer_aggregate,inner_oof,,4,56.61373611459939,3072,1926118,67
0.786,392,105,,G_original_plus_trajectory,,,20,6.968,4409.368,4.0,2,logistic,2,500,all,safe_logistic_start4_checkpoint_lambda20,1,safe_stop,42,1,56.45,checkpoint,outer_aggregate,inner_oof,,4,50.33897102466176,3484,2204684,97
0.776,376,94,,G_original_plus_trajectory,,,2,3.178,2056.488,2.0,18,histgb,18,500,all,safe_histgb_start2_every_sample_lambda2,12,safe_stop,108,12,80.13749999999999,every_sample,outer_aggregate,inner_oof,,2,76.83856050222268,1589,1028244,4
0.776,380,98,,G_original_plus_trajectory,,,5,3.544,2333.302,2.0,14,histgb,14,500,all,safe_histgb_start2_every_sample_lambda5,8,safe_stop,106,8,77.85,every_sample,outer_aggregate,inner_oof,,2,73.72091006461365,1772,1166651,6
0.772,382,102,,G_original_plus_trajectory,,,10,5.03,3343.906,3.0,12,histgb,12,500,all,safe_histgb_start2_every_sample_lambda10,4,safe_stop,82,4,68.5625,every_sample,outer_aggregate,inner_oof,,2,62.33886290352554,2515,1671953,35
0.782,391,106,,G_original_plus_trajectory,,,20,6.646,4297.972,5.0,3,histgb,3,500,all,safe_histgb_start2_every_sample_lambda20,0,safe_stop,64,0,58.46249999999999,every_sample,outer_aggregate,inner_oof,,2,51.59358165905126,3323,2148986,55
0.774,380,99,,G_original_plus_trajectory,,,2,3.832,2544.644,2.0,14,histgb,14,500,all,safe_histgb_start2_checkpoint_lambda2,7,safe_stop,82,7,76.05,checkpoint,outer_aggregate,inner_oof,,2,71.34064577601129,1916,1272322,39
0.776,381,99,,G_original_plus_trajectory,,,5,4.124,2737.926,2.0,13,histgb,13,500,all,safe_histgb_start2_checkpoint_lambda5,7,safe_stop,76,7,74.22500000000001,checkpoint,outer_aggregate,inner_oof,,2,69.16378437491906,2062,1368963,47
0.782,387,102,,G_original_plus_trajectory,,,10,5.488,3713.73,2.0,7,histgb,7,500,all,safe_histgb_start2_checkpoint_lambda10,4,safe_stop,52,4,65.7,checkpoint,outer_aggregate,inner_oof,,2,58.17367633262116,2744,1856865,89
0.784,390,104,,G_original_plus_trajectory,,,20,6.796,4492.684,4.0,4,histgb,4,500,all,safe_histgb_start2_checkpoint_lambda20,2,safe_stop,38,2,57.525000000000006,checkpoint,outer_aggregate,inner_oof,,2,49.40061471370987,3398,2246342,111
0.776,378,96,,G_original_plus_trajectory,,,2,4.864,2919.658,4.0,16,histgb,16,500,all,safe_histgb_start4_every_sample_lambda2,10,safe_stop,108,10,69.6,every_sample,outer_aggregate,inner_oof,,4,67.11700621583907,2432,1459829,4
0.78,383,99,,G_original_plus_trajectory,,,5,5.27,3215.19,4.0,11,histgb,11,500,all,safe_histgb_start4_every_sample_lambda5,7,safe_stop,104,7,67.0625,every_sample,outer_aggregate,inner_oof,,4,63.78854208784166,2635,1607595,7
0.78,386,102,,G_original_plus_trajectory,,,10,6.234,3944.336,4.0,8,histgb,8,500,all,safe_histgb_start4_every_sample_lambda10,4,safe_stop,77,4,61.0375,every_sample,outer_aggregate,inner_oof,,4,55.57644896400805,3117,1972168,37
0.784,390,104,,G_original_plus_trajectory,,,20,6.662,4227.948,4.0,4,histgb,4,500,all,safe_histgb_start4_every_sample_lambda20,2,safe_stop,70,2,58.362500000000004,every_sample,outer_aggregate,inner_oof,,4,52.382235246814645,3331,2113974,47
0.78,384,100,,G_original_plus_trajectory,,,2,5.464,3357.89,4.0,10,histgb,10,500,all,safe_histgb_start4_checkpoint_lambda2,6,safe_stop,77,6,65.85,checkpoint,outer_aggregate,inner_oof,,4,62.18136644843466,2732,1678945,43
0.782,386,101,,G_original_plus_trajectory,,,5,5.616,3465.68,4.0,8,histgb,8,500,all,safe_histgb_start4_checkpoint_lambda5,5,safe_stop,73,5,64.9,checkpoint,outer_aggregate,inner_oof,,4,60.96736881583704,2808,1732840,46
0.782,389,104,,G_original_plus_trajectory,,,10,6.736,4308.952,4.0,5,histgb,5,500,all,safe_histgb_start4_checkpoint_lambda10,2,safe_stop,51,2,57.9,checkpoint,outer_aggregate,inner_oof,,4,51.46991810950193,3368,2154476,90
0.786,392,105,,G_original_plus_trajectory,,,20,7.272,4677.392,4.0,2,histgb,2,500,all,safe_histgb_start4_checkpoint_lambda20,1,safe_stop,36,1,54.55,checkpoint,outer_aggregate,inner_oof,,4,47.320319002402314,3636,2338696,112
