accuracy,both_correct,both_wrong,calibration,feature_group,hyperparameters,inner_loss,lambda_miss,margin_rule,mean_samples,mean_tokens,median_samples,missed_recoveries,model,n16_only_correct,n_questions,outer_fold,pareto_efficient_samples,pareto_efficient_tokens,policy_id,policy_only_correct,policy_type,premature_stopping_errors,regressions_avoided,sample_reduction_vs_n16_pct,schedule,scope,selected_on,selected_tau,start_prefix,token_reduction_vs_n16_pct,total_samples,total_tokens,unnecessary_continuations
0.86,86,14,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.5719911213186383,20,margin_min2_0.50,6.01,3770.32,4.0,0,logistic,0,100,2,,,hybrid_logistic_start2_every_sample_lambda20,0,hybrid_margin_risk,3,0,62.4375,every_sample,outer_fold,inner_oof,0.15,2,56.61885941446183,601,377032,15
0.85,85,14,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.3699549063817273,2,margin_min2_0.50,4.26,2674.3,2.0,1,logistic,1,100,2,,,hybrid_logistic_start2_checkpoint_lambda2,0,hybrid_margin_risk,7,0,73.375,checkpoint,outer_fold,inner_oof,0.7,2,69.2296186350483,426,267430,15
0.85,85,14,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.4449549063817273,5,margin_min2_0.50,4.26,2674.3,2.0,1,logistic,1,100,2,,,hybrid_logistic_start2_checkpoint_lambda5,0,hybrid_margin_risk,7,0,73.375,checkpoint,outer_fold,inner_oof,0.7,2,69.2296186350483,426,267430,15
0.85,85,14,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.5322160992619771,10,margin_min2_0.50,4.84,3189.96,2.0,1,logistic,1,100,2,,,hybrid_logistic_start2_checkpoint_lambda10,0,hybrid_margin_risk,4,0,69.75,checkpoint,outer_fold,inner_oof,0.5,2,63.29645674047738,484,318996,18
0.86,86,14,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.6113435657568587,20,margin_min2_0.50,6.92,4302.36,4.0,0,logistic,0,100,2,,,hybrid_logistic_start2_checkpoint_lambda20,0,hybrid_margin_risk,2,0,56.75,checkpoint,outer_fold,inner_oof,0.2,2,50.49722994080186,692,430236,20
0.86,86,14,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.4501869564608512,2,margin_min2_0.50,6.0,3619.68,4.0,0,logistic,0,100,2,,,hybrid_logistic_start4_every_sample_lambda2,0,hybrid_margin_risk,4,0,62.5,every_sample,outer_fold,inner_oof,0.7,4,58.35211680847758,600,361968,14
0.86,86,14,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.4801869564608512,5,margin_min2_0.50,6.0,3619.68,4.0,0,logistic,0,100,2,,,hybrid_logistic_start4_every_sample_lambda5,0,hybrid_margin_risk,4,0,62.5,every_sample,outer_fold,inner_oof,0.7,4,58.35211680847758,600,361968,14
0.86,86,14,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.5301869564608512,10,margin_min2_0.50,6.0,3619.68,4.0,0,logistic,0,100,2,,,hybrid_logistic_start4_every_sample_lambda10,0,hybrid_margin_risk,4,0,62.5,every_sample,outer_fold,inner_oof,0.7,4,58.35211680847758,600,361968,14
0.86,86,14,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.5728606439144621,20,margin_min2_0.50,6.74,4187.72,4.0,0,logistic,0,100,2,,,hybrid_logistic_start4_every_sample_lambda20,0,hybrid_margin_risk,3,0,57.875,every_sample,outer_fold,inner_oof,0.075,4,51.81627287528118,674,418772,16
0.86,86,14,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.4836649068018542,2,margin_min2_0.50,6.4,3958.84,4.0,0,logistic,0,100,2,,,hybrid_logistic_start4_checkpoint_lambda2,0,hybrid_margin_risk,3,0,60.0,checkpoint,outer_fold,inner_oof,0.7,4,54.449756361356094,640,395884,19
0.86,86,14,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.5136649068018542,5,margin_min2_0.50,6.4,3958.84,4.0,0,logistic,0,100,2,,,hybrid_logistic_start4_checkpoint_lambda5,0,hybrid_margin_risk,3,0,60.0,checkpoint,outer_fold,inner_oof,0.7,4,54.449756361356094,640,395884,19
0.86,86,14,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.5636649068018542,10,margin_min2_0.50,6.4,3958.84,4.0,0,logistic,0,100,2,,,hybrid_logistic_start4_checkpoint_lambda10,0,hybrid_margin_risk,3,0,60.0,checkpoint,outer_fold,inner_oof,0.7,4,54.449756361356094,640,395884,19
0.86,86,14,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.5893137927654152,20,margin_min2_0.50,6.8,4189.32,4.0,0,logistic,0,100,2,,,hybrid_logistic_start4_checkpoint_lambda20,0,hybrid_margin_risk,3,0,57.49999999999999,checkpoint,outer_fold,inner_oof,0.4,4,51.79786334374623,680,418932,19
0.85,85,14,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.3729220524598429,2,margin_min2_0.50,4.46,2920.19,2.0,1,histgb,1,100,2,,,hybrid_histgb_start2_every_sample_lambda2,0,hybrid_margin_risk,5,0,72.125,every_sample,outer_fold,inner_oof,0.7,2,66.40041881684242,446,292019,13
0.85,85,14,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.4254220524598429,5,margin_min2_0.50,4.46,2920.19,2.0,1,histgb,1,100,2,,,hybrid_histgb_start2_every_sample_lambda5,0,hybrid_margin_risk,5,0,72.125,every_sample,outer_fold,inner_oof,0.7,2,66.40041881684242,446,292019,13
0.85,85,14,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.5129220524598429,10,margin_min2_0.50,4.46,2920.19,2.0,1,histgb,1,100,2,,,hybrid_histgb_start2_every_sample_lambda10,0,hybrid_margin_risk,5,0,72.125,every_sample,outer_fold,inner_oof,0.7,2,66.40041881684242,446,292019,13
0.86,86,14,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.6336905345414315,20,margin_min2_0.50,5.64,3559.29,3.0,0,histgb,0,100,2,,,hybrid_histgb_start2_every_sample_lambda20,0,hybrid_margin_risk,4,0,64.75,every_sample,outer_fold,inner_oof,0.05,2,59.04696156434994,564,355929,14
0.85,85,14,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.41576246026299946,2,margin_min2_0.50,4.76,3156.28,2.0,1,histgb,1,100,2,,,hybrid_histgb_start2_checkpoint_lambda2,0,hybrid_margin_risk,4,0,70.25,checkpoint,outer_fold,inner_oof,0.7,2,63.68397737928812,476,315628,18
0.85,85,14,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.46076246026299944,5,margin_min2_0.50,4.76,3156.28,2.0,1,histgb,1,100,2,,,hybrid_histgb_start2_checkpoint_lambda5,0,hybrid_margin_risk,4,0,70.25,checkpoint,outer_fold,inner_oof,0.7,2,63.68397737928812,476,315628,18
0.85,85,14,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.5357624602629995,10,margin_min2_0.50,4.76,3156.28,2.0,1,histgb,1,100,2,,,hybrid_histgb_start2_checkpoint_lambda10,0,hybrid_margin_risk,4,0,70.25,checkpoint,outer_fold,inner_oof,0.7,2,63.68397737928812,476,315628,18
0.86,86,14,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.6187425602531965,20,margin_min2_0.50,6.92,4296.38,4.0,0,histgb,0,100,2,,,hybrid_histgb_start2_checkpoint_lambda20,0,hybrid_margin_risk,3,0,56.75,checkpoint,outer_fold,inner_oof,0.1,2,50.56603556491373,692,429638,20
0.86,86,14,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.4547636086098002,2,margin_min2_0.50,6.09,3711.34,4.0,0,histgb,0,100,2,,,hybrid_histgb_start4_every_sample_lambda2,0,hybrid_margin_risk,4,0,61.9375,every_sample,outer_fold,inner_oof,0.7,4,57.297480770669004,609,371134,14
0.86,86,14,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.47726360860980016,5,margin_min2_0.50,6.09,3711.34,4.0,0,histgb,0,100,2,,,hybrid_histgb_start4_every_sample_lambda5,0,hybrid_margin_risk,4,0,61.9375,every_sample,outer_fold,inner_oof,0.7,4,57.297480770669004,609,371134,14
0.86,86,14,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.5147636086098002,10,margin_min2_0.50,6.09,3711.34,4.0,0,histgb,0,100,2,,,hybrid_histgb_start4_every_sample_lambda10,0,hybrid_margin_risk,4,0,61.9375,every_sample,outer_fold,inner_oof,0.7,4,57.297480770669004,609,371134,14
0.86,86,14,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.5897636086098001,20,margin_min2_0.50,6.09,3711.34,4.0,0,histgb,0,100,2,,,hybrid_histgb_start4_every_sample_lambda20,0,hybrid_margin_risk,4,0,61.9375,every_sample,outer_fold,inner_oof,0.7,4,57.297480770669004,609,371134,14
0.86,86,14,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.4961813967818281,2,margin_min2_0.50,6.4,3958.84,4.0,0,histgb,0,100,2,,,hybrid_histgb_start4_checkpoint_lambda2,0,hybrid_margin_risk,3,0,60.0,checkpoint,outer_fold,inner_oof,0.7,4,54.449756361356094,640,395884,19
0.86,86,14,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.5186813967818281,5,margin_min2_0.50,6.4,3958.84,4.0,0,histgb,0,100,2,,,hybrid_histgb_start4_checkpoint_lambda5,0,hybrid_margin_risk,3,0,60.0,checkpoint,outer_fold,inner_oof,0.7,4,54.449756361356094,640,395884,19
0.86,86,14,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.5561813967818281,10,margin_min2_0.50,6.4,3958.84,4.0,0,histgb,0,100,2,,,hybrid_histgb_start4_checkpoint_lambda10,0,hybrid_margin_risk,3,0,60.0,checkpoint,outer_fold,inner_oof,0.7,4,54.449756361356094,640,395884,19
0.86,86,14,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.6118594815634322,20,margin_min2_0.50,6.6,4059.53,4.0,0,histgb,0,100,2,,,hybrid_histgb_start4_checkpoint_lambda20,0,hybrid_margin_risk,3,0,58.75,checkpoint,outer_fold,inner_oof,0.2,4,53.29122152994713,660,405953,19
0.77,75,21,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.3527264528762213,2,margin_min2_0.50,4.13,2795.47,2.0,2,logistic,2,100,3,,,hybrid_logistic_start2_every_sample_lambda2,2,hybrid_margin_risk,15,2,74.1875,every_sample,outer_fold,inner_oof,0.7,2,69.54032694786551,413,279547,11
0.77,75,21,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.41272645287622134,5,margin_min2_0.50,4.13,2795.47,2.0,2,logistic,2,100,3,,,hybrid_logistic_start2_every_sample_lambda5,2,hybrid_margin_risk,15,2,74.1875,every_sample,outer_fold,inner_oof,0.7,2,69.54032694786551,413,279547,11
0.77,77,23,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.5108745084765783,10,margin_min2_0.50,6.3,4309.25,3.0,0,logistic,0,100,3,,,hybrid_logistic_start2_every_sample_lambda10,0,hybrid_margin_risk,8,0,60.62499999999999,every_sample,outer_fold,inner_oof,0.3,2,53.04605447387718,630,430925,19
0.77,77,23,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.539326700937955,20,margin_min2_0.50,7.59,5054.0,4.0,0,logistic,0,100,3,,,hybrid_logistic_start2_every_sample_lambda20,0,hybrid_margin_risk,7,0,52.5625,every_sample,outer_fold,inner_oof,0.1,2,44.93119668410404,759,505400,22
0.76,75,22,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.37554864349757955,2,margin_min2_0.50,4.64,3262.42,2.0,2,logistic,2,100,3,,,hybrid_logistic_start2_checkpoint_lambda2,1,hybrid_margin_risk,12,1,71.0,checkpoint,outer_fold,inner_oof,0.7,2,64.45240100636222,464,326242,17
0.76,75,22,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.4355486434975796,5,margin_min2_0.50,4.64,3262.42,2.0,2,logistic,2,100,3,,,hybrid_logistic_start2_checkpoint_lambda5,1,hybrid_margin_risk,12,1,71.0,checkpoint,outer_fold,inner_oof,0.7,2,64.45240100636222,464,326242,17
0.75,75,23,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.5214385990418274,10,margin_min2_0.50,5.3,3782.64,2.0,2,logistic,2,100,3,,,hybrid_logistic_start2_checkpoint_lambda10,0,hybrid_margin_risk,9,0,66.875,checkpoint,outer_fold,inner_oof,0.4,2,58.784040725199695,530,378264,21
0.77,77,23,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.5655538341666421,20,margin_min2_0.50,7.84,5239.15,4.0,0,logistic,0,100,3,,,hybrid_logistic_start2_checkpoint_lambda20,0,hybrid_margin_risk,4,0,51.0,checkpoint,outer_fold,inner_oof,0.3,2,42.91378692273915,784,523915,29
0.78,77,22,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.44937381449434705,2,margin_min2_0.50,6.29,4087.5,4.0,0,logistic,0,100,3,,,hybrid_logistic_start4_every_sample_lambda2,1,hybrid_margin_risk,11,1,60.68750000000001,every_sample,outer_fold,inner_oof,0.7,4,55.462260871839185,629,408750,15
0.78,77,22,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.471873814494347,5,margin_min2_0.50,6.29,4087.5,4.0,0,logistic,0,100,3,,,hybrid_logistic_start4_every_sample_lambda5,1,hybrid_margin_risk,11,1,60.68750000000001,every_sample,outer_fold,inner_oof,0.7,4,55.462260871839185,629,408750,15
0.78,77,22,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.509373814494347,10,margin_min2_0.50,6.29,4087.5,4.0,0,logistic,0,100,3,,,hybrid_logistic_start4_every_sample_lambda10,1,hybrid_margin_risk,11,1,60.68750000000001,every_sample,outer_fold,inner_oof,0.7,4,55.462260871839185,629,408750,15
0.77,77,23,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.539326700937955,20,margin_min2_0.50,7.59,5054.0,4.0,0,logistic,0,100,3,,,hybrid_logistic_start4_every_sample_lambda20,0,hybrid_margin_risk,7,0,52.5625,every_sample,outer_fold,inner_oof,0.1,4,44.93119668410404,759,505400,22
0.78,77,22,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.47780238202869973,2,margin_min2_0.50,6.68,4463.81,4.0,0,logistic,0,100,3,,,hybrid_logistic_start4_checkpoint_lambda2,1,hybrid_margin_risk,7,1,58.25,checkpoint,outer_fold,inner_oof,0.7,4,51.36195589047694,668,446381,21
0.78,77,22,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.5003023820286997,5,margin_min2_0.50,6.68,4463.81,4.0,0,logistic,0,100,3,,,hybrid_logistic_start4_checkpoint_lambda5,1,hybrid_margin_risk,7,1,58.25,checkpoint,outer_fold,inner_oof,0.7,4,51.36195589047694,668,446381,21
0.78,77,22,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.5378023820286997,10,margin_min2_0.50,6.68,4463.81,4.0,0,logistic,0,100,3,,,hybrid_logistic_start4_checkpoint_lambda10,1,hybrid_margin_risk,7,1,58.25,checkpoint,outer_fold,inner_oof,0.7,4,51.36195589047694,668,446381,21
0.77,77,23,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=balanced,0.5780301808442732,20,margin_min2_0.50,7.6,5003.05,4.0,0,logistic,0,100,3,,,hybrid_logistic_start4_checkpoint_lambda20,0,hybrid_margin_risk,5,0,52.5,checkpoint,outer_fold,inner_oof,0.4,4,45.486352111279515,760,500305,27
0.77,75,21,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.3808165478984037,2,margin_min2_0.50,4.33,2995.64,2.0,2,histgb,2,100,3,,,hybrid_histgb_start2_every_sample_lambda2,2,hybrid_margin_risk,14,2,72.9375,every_sample,outer_fold,inner_oof,0.7,2,67.35925802033427,433,299564,12
0.77,75,21,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.44081654789840374,5,margin_min2_0.50,4.33,2995.64,2.0,2,histgb,2,100,3,,,hybrid_histgb_start2_every_sample_lambda5,2,hybrid_margin_risk,14,2,72.9375,every_sample,outer_fold,inner_oof,0.7,2,67.35925802033427,433,299564,12
0.77,75,21,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.5228726207540441,10,margin_min2_0.50,4.91,3515.26,2.0,2,histgb,2,100,3,,,hybrid_histgb_start2_every_sample_lambda10,2,hybrid_margin_risk,11,2,69.3125,every_sample,outer_fold,inner_oof,0.5,2,61.69743538895203,491,351526,16
0.77,77,23,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.6248643270416822,20,margin_min2_0.50,8.31,5417.85,5.0,0,histgb,0,100,3,,,hybrid_histgb_start2_every_sample_lambda20,0,hybrid_margin_risk,6,0,48.0625,every_sample,outer_fold,inner_oof,0.02,2,40.966656896512276,831,541785,23
0.76,75,22,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.4197296649576455,2,margin_min2_0.50,4.62,3242.36,2.0,2,histgb,2,100,3,,,hybrid_histgb_start2_checkpoint_lambda2,1,hybrid_margin_risk,13,1,71.125,checkpoint,outer_fold,inner_oof,0.7,2,64.67097643068294,462,324236,16
0.75,75,23,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.47164190971188946,5,margin_min2_0.50,5.86,4277.9,2.0,2,histgb,2,100,3,,,hybrid_histgb_start2_checkpoint_lambda5,0,hybrid_margin_risk,7,0,63.375,checkpoint,outer_fold,inner_oof,0.4,2,53.387646674896835,586,427790,24
0.75,75,23,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.5216419097118895,10,margin_min2_0.50,5.86,4277.9,2.0,2,histgb,2,100,3,,,hybrid_histgb_start2_checkpoint_lambda10,0,hybrid_margin_risk,7,0,63.375,checkpoint,outer_fold,inner_oof,0.4,2,53.387646674896835,586,427790,24
0.76,76,23,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.6028792879810455,20,margin_min2_0.50,6.84,4940.0,4.0,1,histgb,1,100,3,,,hybrid_histgb_start2_checkpoint_lambda20,0,hybrid_margin_risk,5,0,57.25,checkpoint,outer_fold,inner_oof,0.2,2,46.17335014235733,684,494000,27
0.78,77,22,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.4579308993600825,2,margin_min2_0.50,6.31,4107.98,4.0,0,histgb,0,100,3,,,hybrid_histgb_start4_every_sample_lambda2,1,hybrid_margin_risk,11,1,60.56250000000001,every_sample,outer_fold,inner_oof,0.7,4,55.239109092672265,631,410798,15
0.78,77,22,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.4879308993600825,5,margin_min2_0.50,6.31,4107.98,4.0,0,histgb,0,100,3,,,hybrid_histgb_start4_every_sample_lambda5,1,hybrid_margin_risk,11,1,60.56250000000001,every_sample,outer_fold,inner_oof,0.7,4,55.239109092672265,631,410798,15
0.78,77,22,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.5379308993600825,10,margin_min2_0.50,6.31,4107.98,4.0,0,histgb,0,100,3,,,hybrid_histgb_start4_every_sample_lambda10,1,hybrid_margin_risk,11,1,60.56250000000001,every_sample,outer_fold,inner_oof,0.7,4,55.239109092672265,631,410798,15
0.77,77,23,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.6016923625608512,20,margin_min2_0.50,7.38,4959.98,4.0,0,histgb,0,100,3,,,hybrid_histgb_start4_every_sample_lambda20,0,hybrid_margin_risk,7,0,53.87500000000001,every_sample,outer_fold,inner_oof,0.2,4,45.95564640467399,738,495998,21
0.78,77,22,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.5001962345500928,2,margin_min2_0.50,6.48,4264.06,4.0,0,histgb,0,100,3,,,hybrid_histgb_start4_checkpoint_lambda2,1,hybrid_margin_risk,9,1,59.5,checkpoint,outer_fold,inner_oof,0.7,4,53.538448463161984,648,426406,19
0.78,77,22,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.5301962345500928,5,margin_min2_0.50,6.48,4264.06,4.0,0,histgb,0,100,3,,,hybrid_histgb_start4_checkpoint_lambda5,1,hybrid_margin_risk,9,1,59.5,checkpoint,outer_fold,inner_oof,0.7,4,53.538448463161984,648,426406,19
0.77,77,23,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.5660199153591557,10,margin_min2_0.50,8.0,5340.18,4.0,0,histgb,0,100,3,,,hybrid_histgb_start4_checkpoint_lambda10,0,hybrid_margin_risk,4,0,50.0,checkpoint,outer_fold,inner_oof,0.2,4,41.812955660569585,800,534018,30
0.77,77,23,uncalibrated,G_original_plus_trajectory,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.5910199153591558,20,margin_min2_0.50,8.0,5340.18,4.0,0,histgb,0,100,3,,,hybrid_histgb_start4_checkpoint_lambda20,0,hybrid_margin_risk,4,0,50.0,checkpoint,outer_fold,inner_oof,0.2,4,41.812955660569585,800,534018,30
0.75,74,22,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=None,0.32773348460741464,2,margin_min2_0.50,4.19,2519.18,2.0,3,logistic,3,100,4,,,hybrid_logistic_start2_every_sample_lambda2,1,hybrid_margin_risk,18,1,73.81249999999999,every_sample,outer_fold,inner_oof,0.3,2,70.85958655726972,419,251918,13
0.75,74,22,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=None,0.38773348460741464,5,margin_min2_0.50,4.19,2519.18,2.0,3,logistic,3,100,4,,,hybrid_logistic_start2_every_sample_lambda5,1,hybrid_margin_risk,18,1,73.81249999999999,every_sample,outer_fold,inner_oof,0.3,2,70.85958655726972,419,251918,13
0.75,74,22,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=None,0.48773348460741467,10,margin_min2_0.50,4.19,2519.18,2.0,3,logistic,3,100,4,,,hybrid_logistic_start2_every_sample_lambda10,1,hybrid_margin_risk,18,1,73.81249999999999,every_sample,outer_fold,inner_oof,0.3,2,70.85958655726972,419,251918,13
0.76,76,23,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=None,0.5198436461529167,20,margin_min2_0.50,6.57,4206.68,3.0,1,logistic,1,100,4,,,hybrid_logistic_start2_every_sample_lambda20,0,hybrid_margin_risk,11,0,58.9375,every_sample,outer_fold,inner_oof,0.03,2,51.33956508813795,657,420668,19
0.75,74,22,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=None,0.34477951131310824,2,margin_min2_0.50,4.38,2670.17,2.0,3,logistic,3,100,4,,,hybrid_logistic_start2_checkpoint_lambda2,1,hybrid_margin_risk,17,1,72.625,checkpoint,outer_fold,inner_oof,0.3,2,69.11302179186278,438,267017,15
0.75,74,22,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=None,0.4047795113131083,5,margin_min2_0.50,4.38,2670.17,2.0,3,logistic,3,100,4,,,hybrid_logistic_start2_checkpoint_lambda5,1,hybrid_margin_risk,17,1,72.625,checkpoint,outer_fold,inner_oof,0.3,2,69.11302179186278,438,267017,15
0.75,74,22,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=None,0.5047795113131083,10,margin_min2_0.50,4.38,2670.17,2.0,3,logistic,3,100,4,,,hybrid_logistic_start2_checkpoint_lambda10,1,hybrid_margin_risk,17,1,72.625,checkpoint,outer_fold,inner_oof,0.3,2,69.11302179186278,438,267017,15
0.76,76,23,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=None,0.5505937395803263,20,margin_min2_0.50,7.76,4872.96,4.0,1,logistic,1,100,4,,,hybrid_logistic_start2_checkpoint_lambda20,0,hybrid_margin_risk,9,0,51.5,checkpoint,outer_fold,inner_oof,0.03,2,43.6324244040176,776,487296,26
0.75,75,23,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=None,0.43075733265304755,2,margin_min2_0.50,6.36,3768.73,4.0,2,logistic,2,100,4,,,hybrid_logistic_start4_every_sample_lambda2,0,hybrid_margin_risk,14,0,60.25,every_sample,outer_fold,inner_oof,0.4,4,56.40551673400833,636,376873,17
0.75,75,23,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=None,0.44575733265304757,5,margin_min2_0.50,6.36,3768.73,4.0,2,logistic,2,100,4,,,hybrid_logistic_start4_every_sample_lambda5,0,hybrid_margin_risk,14,0,60.25,every_sample,outer_fold,inner_oof,0.4,4,56.40551673400833,636,376873,17
0.75,75,23,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=None,0.4569487055548469,10,margin_min2_0.50,6.55,3916.19,4.0,2,logistic,2,100,4,,,hybrid_logistic_start4_every_sample_lambda10,0,hybrid_margin_risk,14,0,59.06249999999999,every_sample,outer_fold,inner_oof,0.1,4,54.699784961659795,655,391619,18
0.75,75,23,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=None,0.4569487055548469,20,margin_min2_0.50,6.55,3916.19,4.0,2,logistic,2,100,4,,,hybrid_logistic_start4_every_sample_lambda20,0,hybrid_margin_risk,14,0,59.06249999999999,every_sample,outer_fold,inner_oof,0.1,4,54.699784961659795,655,391619,18
0.75,75,23,uncalibrated,G_original_plus_trajectory,C=0.1;class_weight=None,0.4570557498696492,2,margin_min2_0.50,6.68,4022.74,4.0,2,logistic,2,100,4,,,hybrid_logistic_start4_checkpoint_lambda2,0,hybrid_margin_risk,13,0,58.25,checkpoint,outer_fold,inner_oof,0.4,4,53.467276346823645,668,402274,20
