fraction,outer_fold,policy_id,questions_stopped,scope,stop_budget
0.0,all,simple_margin,0,outer_aggregate,12
0.0,all,simple_margin,0,outer_aggregate,13
0.008,all,simple_margin,4,outer_aggregate,14
0.0,all,simple_margin,0,outer_aggregate,15
0.116,all,simple_margin,58,outer_aggregate,16
0.0,all,fixed_n8,0,outer_aggregate,1
0.0,all,fixed_n8,0,outer_aggregate,2
0.0,all,fixed_n8,0,outer_aggregate,3
0.0,all,fixed_n8,0,outer_aggregate,4
0.0,all,fixed_n8,0,outer_aggregate,5
0.0,all,fixed_n8,0,outer_aggregate,6
0.0,all,fixed_n8,0,outer_aggregate,7
1.0,all,fixed_n8,500,outer_aggregate,8
0.0,all,fixed_n8,0,outer_aggregate,9
0.0,all,fixed_n8,0,outer_aggregate,10
0.0,all,fixed_n8,0,outer_aggregate,11
0.0,all,fixed_n8,0,outer_aggregate,12
0.0,all,fixed_n8,0,outer_aggregate,13
0.0,all,fixed_n8,0,outer_aggregate,14
0.0,all,fixed_n8,0,outer_aggregate,15
0.0,all,fixed_n8,0,outer_aggregate,16
0.0,all,fixed_n16,0,outer_aggregate,1
0.0,all,fixed_n16,0,outer_aggregate,2
0.0,all,fixed_n16,0,outer_aggregate,3
0.0,all,fixed_n16,0,outer_aggregate,4
0.0,all,fixed_n16,0,outer_aggregate,5
0.0,all,fixed_n16,0,outer_aggregate,6
0.0,all,fixed_n16,0,outer_aggregate,7
0.0,all,fixed_n16,0,outer_aggregate,8
0.0,all,fixed_n16,0,outer_aggregate,9
0.0,all,fixed_n16,0,outer_aggregate,10
0.0,all,fixed_n16,0,outer_aggregate,11
0.0,all,fixed_n16,0,outer_aggregate,12
0.0,all,fixed_n16,0,outer_aggregate,13
0.0,all,fixed_n16,0,outer_aggregate,14
0.0,all,fixed_n16,0,outer_aggregate,15
1.0,all,fixed_n16,500,outer_aggregate,16
