brier_score,calibration,calibration_error_10bin,feature_group,fn,fp,hyperparameters,model,outer_fold,positive_prevalence,pr_auc,roc_auc,scope,selected_calibration,tn,tp,unsafe_precision,unsafe_recall
0.0528601420606758,uncalibrated,0.021926501466161263,G_original_plus_trajectory,72,29,C=1.0;class_weight=None,logistic,1,0.08266666666666667,0.5484374461969137,0.9243541354088523,outer_fold,True,1347,52,0.6419753086419753,0.41935483870967744
0.05499602715281577,sigmoid,0.020925894554476483,G_original_plus_trajectory,67,56,C=1.0;class_weight=None,logistic,1,0.08266666666666667,0.5484374461969137,0.9243541354088523,outer_fold,False,1320,57,0.504424778761062,0.4596774193548387
0.05624412427718913,isotonic,0.025122302220267352,G_original_plus_trajectory,60,79,C=1.0;class_weight=None,logistic,1,0.08266666666666667,0.5161402071474143,0.9260303357089271,outer_fold,False,1297,64,0.44755244755244755,0.5161290322580645
0.10560470473435776,uncalibrated,0.12708862951152222,G_original_plus_trajectory,23,220,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,histgb,1,0.08266666666666667,0.5550229849920943,0.9217431310952738,outer_fold,True,1156,101,0.3146417445482866,0.8145161290322581
0.05390397831891465,sigmoid,0.02784145790165715,G_original_plus_trajectory,68,35,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,histgb,1,0.08266666666666667,0.5550229849920943,0.9217431310952738,outer_fold,False,1341,56,0.6153846153846154,0.45161290322580644
0.05327966124733503,isotonic,0.02013323069155825,G_original_plus_trajectory,65,48,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,histgb,1,0.08266666666666667,0.5105785534913436,0.9221680420105025,outer_fold,False,1328,59,0.5514018691588785,0.47580645161290325
0.08935376737329875,uncalibrated,0.14090826016183056,G_original_plus_trajectory,1,227,C=0.1;class_weight=balanced,logistic,2,0.051333333333333335,0.4377872820276665,0.9500643418422757,outer_fold,True,1196,76,0.2508250825082508,0.987012987012987
0.03577156726348091,sigmoid,0.024957716564231267,G_original_plus_trajectory,46,40,C=0.1;class_weight=balanced,logistic,2,0.051333333333333335,0.4377872820276665,0.9500643418422757,outer_fold,False,1383,31,0.43661971830985913,0.4025974025974026
0.03818992339524276,isotonic,0.024867890588548994,G_original_plus_trajectory,47,40,C=0.1;class_weight=balanced,logistic,2,0.051333333333333335,0.39122397391458225,0.9480610745543985,outer_fold,False,1383,30,0.42857142857142855,0.38961038961038963
0.08345210684768546,uncalibrated,0.11844843998829271,G_original_plus_trajectory,2,199,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,histgb,2,0.051333333333333335,0.41739598618389284,0.953418331492822,outer_fold,True,1224,75,0.2737226277372263,0.974025974025974
0.036053607601960344,sigmoid,0.01939414677006942,G_original_plus_trajectory,47,37,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,histgb,2,0.051333333333333335,0.41739598618389284,0.953418331492822,outer_fold,False,1386,30,0.44776119402985076,0.38961038961038963
0.03925008675142271,isotonic,0.02460620922814146,G_original_plus_trajectory,45,41,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,histgb,2,0.051333333333333335,0.38595582731631806,0.9508492210530158,outer_fold,False,1382,32,0.4383561643835616,0.4155844155844156
0.1138286604799094,uncalibrated,0.16145754740564713,G_original_plus_trajectory,10,274,C=0.1;class_weight=balanced,logistic,3,0.09133333333333334,0.5884952553920703,0.937439418200513,outer_fold,True,1089,127,0.3167082294264339,0.927007299270073
0.05437204215627114,sigmoid,0.023715189266098363,G_original_plus_trajectory,94,17,C=0.1;class_weight=balanced,logistic,3,0.09133333333333334,0.5884952553920703,0.937439418200513,outer_fold,False,1346,43,0.7166666666666667,0.31386861313868614
0.056174887977365716,isotonic,0.026407147010622946,G_original_plus_trajectory,115,8,C=0.1;class_weight=balanced,logistic,3,0.09133333333333334,0.5410121651622637,0.9321349963316214,outer_fold,False,1355,22,0.7333333333333333,0.16058394160583941
0.10679658112621522,uncalibrated,0.13504250227803463,G_original_plus_trajectory,17,241,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,histgb,3,0.09133333333333334,0.5895676034118297,0.9333908135231965,outer_fold,True,1122,120,0.33240997229916897,0.8759124087591241
0.05525378153539672,sigmoid,0.0282810038750985,G_original_plus_trajectory,103,11,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,histgb,3,0.09133333333333334,0.5895676034118297,0.9333908135231965,outer_fold,False,1352,34,0.7555555555555555,0.24817518248175183
0.056713006908016665,isotonic,0.028947557201742993,G_original_plus_trajectory,118,6,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,histgb,3,0.09133333333333334,0.5573448477454089,0.9286058554819498,outer_fold,False,1357,19,0.76,0.1386861313868613
0.04793826403492273,uncalibrated,0.018542139611288908,G_original_plus_trajectory,64,25,C=0.1;class_weight=None,logistic,4,0.066,0.43958786743716005,0.9038889970367486,outer_fold,True,1376,35,0.5833333333333334,0.35353535353535354
0.05065296578833454,sigmoid,0.02616874999619739,G_original_plus_trajectory,60,40,C=0.1;class_weight=None,logistic,4,0.066,0.43958786743716005,0.9038889970367486,outer_fold,False,1361,39,0.4936708860759494,0.3939393939393939
0.05195910107514647,isotonic,0.030125668920323513,G_original_plus_trajectory,67,22,C=0.1;class_weight=None,logistic,4,0.066,0.3848658711407572,0.8966214608612895,outer_fold,False,1379,32,0.5925925925925926,0.32323232323232326
0.048674076126705955,uncalibrated,0.01587293705664068,G_original_plus_trajectory,68,26,class_weight=None;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,histgb,4,0.066,0.42624469342210414,0.8920540162510182,outer_fold,True,1375,31,0.543859649122807,0.31313131313131315
0.04877770269650932,sigmoid,0.01588520202300545,G_original_plus_trajectory,68,25,class_weight=None;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,histgb,4,0.066,0.42624469342210414,0.8920540162510182,outer_fold,False,1376,31,0.5535714285714286,0.31313131313131315
0.04981279606197921,isotonic,0.02360422040034044,G_original_plus_trajectory,65,32,class_weight=None;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,histgb,4,0.066,0.3715171530567787,0.8877028673602549,outer_fold,False,1369,34,0.5151515151515151,0.3434343434343434
0.051220590152435734,uncalibrated,0.012043746341716937,G_original_plus_trajectory,76,28,C=0.1;class_weight=None,logistic,5,0.07933333333333334,0.5260540983728688,0.9180809181022156,outer_fold,False,1353,43,0.6056338028169014,0.36134453781512604
0.05154893462444086,sigmoid,0.012702733144296176,G_original_plus_trajectory,92,12,C=0.1;class_weight=None,logistic,5,0.07933333333333334,0.5260540983728688,0.9180809181022156,outer_fold,True,1369,27,0.6923076923076923,0.226890756302521
0.05183258622001596,isotonic,0.010886009319553623,G_original_plus_trajectory,76,27,C=0.1;class_weight=None,logistic,5,0.07933333333333334,0.46015202293770463,0.9147402625061611,outer_fold,False,1354,43,0.6142857142857143,0.36134453781512604
0.11466752718177059,uncalibrated,0.1322992552216098,G_original_plus_trajectory,25,231,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,histgb,5,0.07933333333333334,0.4592319639123695,0.9053572189194288,outer_fold,True,1150,94,0.28923076923076924,0.7899159663865546
0.05569075820807838,sigmoid,0.01887552264558726,G_original_plus_trajectory,105,8,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,histgb,5,0.07933333333333334,0.4592319639123695,0.9053572189194288,outer_fold,False,1373,14,0.6363636363636364,0.11764705882352941
0.055025575306329504,isotonic,0.015730857096291472,G_original_plus_trajectory,106,2,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=7,histgb,5,0.07933333333333334,0.4335494437322492,0.9046848283122082,outer_fold,False,1379,13,0.8666666666666667,0.1092436974789916
