stopping_sample,historical_count,fresh_count
2,386,400
3,3,8
4,35,29
5,1,1
6,4,6
7,1,0
8,1,1
9,1,0
10,5,0
11,1,0
12,0,1
13,0,0
14,4,2
15,0,0
16,58,52
