sample_index,records,invalid_extractions,token_limit_records,mean_output_tokens
1,500,36,52,556.956
2,500,40,60,556.456
3,500,40,54,559.216
4,500,40,58,562.31
5,500,35,63,559.182
6,500,41,57,551.374
7,500,40,57,555.172
8,500,38,52,553.844
9,500,44,64,561.648
10,500,37,64,561.662
11,500,45,58,552.428
12,500,36,56,557.434
13,500,37,61,554.804
14,500,52,76,564.788
15,500,37,59,567.066
16,500,39,57,551.474
