comparison,scope,accuracy_difference_pp,ci_low_pp,ci_high_pp,both_correct,adaptive_only,fixed_only,both_wrong,exact_two_sided_mcnemar_p,alpha,adaptive_accuracy,fixed_accuracy,discordant_pairs,test,binomial_statistic_adaptive_only,mean_sample_reduction,total_sample_reduction,sample_reduction_pct,mean_output_token_reduction,total_output_token_reduction,token_reduction_pct
adaptive_minus_fixed_n16,primary confirmatory,-1.2,-2.6000000000000023,0.20000000000000018,383,4,10,103,0.1795654296875,0.05,0.774,0.786,14,exact two-sided binomial McNemar; null p=0.5,4,12.278,6139,76.7375,6577.472,3288736,73.69044436731484
adaptive_minus_fixed_n8,secondary exploratory unadjusted,1.0,-0.6000000000000005,2.6000000000000023,376,11,6,107,0.332305908203125,0.05,0.774,0.764,17,exact two-sided binomial McNemar; null p=0.5,11,4.2780000000000005,2139,53.47500000000001,2106.168,1053084,47.281698772704516
adaptive_minus_fixed_n4,secondary exploratory unadjusted,1.2,0.0,2.6000000000000023,378,9,3,110,0.14599609375,0.05,0.774,0.762,12,exact two-sided binomial McNemar; null p=0.5,9,0.278,139,6.950000000000001,-113.404,-56702,-5.0741452335590465
