n,accuracy,ci95_low,ci95_high,accuracy_gain_vs_n1_pp,marginal_accuracy_gain_pp,mean_generated_tokens_per_question,total_generated_tokens,mean_latency_seconds_per_question,compute_multiplier_vs_n1,invalid_extraction_rate,tie_rate
1,0.720,0.680,0.758,0.0,0.0,556.548,278274,0.825937224,1.000,0.068,0.000
2,0.730,0.690,0.768,1.0,1.0,1121.852,560926,1.652871928,2.001,0.074,0.190
4,0.748,0.710,0.786,2.8,1.8,2226.288,1113144,3.313806302,4.012,0.0805,0.094
8,0.784,0.748,0.820,6.4,3.6,4426.362,2213181,6.624697556,8.021,0.08025,0.066
16,0.788,0.754,0.824,6.8,0.4,8878.930,4439465,13.250482720,16.043,0.082,0.044
